lag_1,lag_2,lag_4,lag_8,ma_4,ma_8,std_4,wow_change,avg_basket,avg_unit_price,total_quantity,avg_margin,n_orders,category_encoded,category_target_enc,revenue,week_start,category
49461.659999999996,43927.51,59609.28,8406.54,50871.5725,51597.305,6498.78553394595,0.1421217969635471,307.01760869565214,160.87233695652174,351,0.34668781372761187,184,0,89904.48566037737,56491.24,2023-02-20,Accessories
56491.24,49461.659999999996,50487.840000000004,62205.12,50092.0625,57607.8925,5147.9843091989405,0.15692379915894916,271.1869709543568,146.9895020746888,440,0.34261120031127257,241,0,89904.48566037737,65356.06,2023-02-27,Accessories
65356.06,56491.24,43927.51,66143.62,53809.1175,58001.76,9256.92921908908,-0.16794219235370067,269.2080198019802,146.22678217821783,366,0.3471065474915163,202,0,89904.48566037737,54380.02,2023-03-06,Accessories
54380.02,65356.06,49461.659999999996,72536.87,56422.244999999995,56531.31,6644.2515820595,0.14638317529121903,272.22855895196506,147.08489082969433,421,0.3335292142611701,229,0,89904.48566037737,62340.34,2023-03-13,Accessories
62340.34,54380.02,56491.24,59609.28,59641.91499999999,55256.743749999994,5084.199134190179,0.10418935796628626,276.4479518072289,154.74421686746987,440,0.3391066501493558,249,0,89904.48566037737,68835.54,2023-03-20,Accessories
68835.54,62340.34,65356.06,50487.840000000004,62727.99,56410.026249999995,6165.706084756245,0.03512589572189029,278.3337890625,150.04609375,477,0.3346354316792154,256,0,89904.48566037737,71253.45,2023-03-27,Accessories
71253.45,68835.54,54380.02,43927.51,64202.337499999994,59005.72749999999,7552.697280982376,-0.08191224424922583,268.102131147541,150.76561475409835,435,0.34966791525783003,244,0,89904.48566037737,65416.92,2023-04-03,Accessories
65416.92,71253.45,62340.34,49461.659999999996,66961.5625,61691.90375,3901.8674089242586,0.07320017512288879,281.94959839357426,152.97995983935743,446,0.3361961461310317,249,0,89904.48566037737,70205.45,2023-04-10,Accessories
70205.45,65416.92,68835.54,56491.24,68927.84,64284.877499999995,2541.37939713856,-0.028633104694863354,290.19255319148937,151.15991489361704,445,0.337007460962656,235,0,89904.48566037737,68195.25,2023-04-17,Accessories
68195.25,70205.45,71253.45,65356.06,68767.7675,65747.87875,2569.1440674328373,-0.05956455911518754,277.6330303030303,151.31826839826837,415,0.339412190603206,231,0,89904.48566037737,64133.23,2023-04-24,Accessories
64133.23,68195.25,65416.92,54380.02,66987.7125,65595.025,2734.19341267072,0.09297754066027841,283.79020242914976,159.46975708502023,447,0.3334398035558994,247,0,89904.48566037737,70096.18,2023-05-01,Accessories
70096.18,64133.23,70205.45,62340.34,68157.5275,67559.545,2837.1789649389334,0.012435342410956007,259.0067518248175,146.00204379562044,483,0.3473795308233425,274,0,89904.48566037737,70967.85,2023-05-08,Accessories
70967.85,70096.18,68195.25,68835.54,68348.1275,68637.98375,3039.044037482615,-0.05840842015081493,266.22601593625495,151.18605577689243,436,0.3336847290394313,251,0,89904.48566037737,66822.73,2023-05-15,Accessories
66822.73,70967.85,64133.23,71253.45,68004.9975,68386.38249999999,3137.933460133485,0.0805710871136216,265.4658455882353,149.22352941176473,482,0.33900606635602326,272,0,89904.48566037737,72206.71,2023-05-22,Accessories
72206.71,66822.73,70096.18,65416.92,70023.3675,68505.54000000001,2302.781921334566,-0.027605329200014905,258.1375735294118,146.80051470588234,479,0.3478128517069069,272,0,89904.48566037737,70213.42,2023-05-29,Accessories
70213.42,72206.71,70967.85,70205.45,70052.6775,69105.1025,2304.7628742726038,0.09195621008063704,268.0768531468531,148.918006993007,517,0.3344105997941898,286,0,89904.48566037737,76669.98,2023-06-05,Accessories
76669.98,70213.42,66822.73,68195.25,71478.20999999999,69913.16875,4113.326948566119,0.04347151257897819,306.5246743295019,156.83329501915708,501,0.34410918136011065,261,0,89904.48566037737,80002.94,2023-06-12,Accessories
80002.94,76669.98,72206.71,64133.23,74773.26250000001,71389.13,4409.324188159886,-0.060977634071947895,268.3019642857143,151.38389285714285,503,0.34041419281852037,280,0,89904.48566037737,75124.55,2023-06-19,Accessories
75124.55,80002.94,70213.42,70096.18,75502.7225,72763.045,4071.6165092370657,0.013115020322917115,276.76294545454545,154.26399999999998,491,0.34891130979615304,275,0,89904.48566037737,76109.81,2023-06-26,Accessories
76109.81,75124.55,76669.98,70967.85,76976.82,73514.74875,2116.141420368721,-0.15601917807967192,263.25909836065574,148.51868852459015,421,0.3403938681625132,244,0,89904.48566037737,64235.22,2023-07-03,Accessories
64235.22,76109.81,80002.94,66822.73,73868.13,72673.17,6758.514857644405,0.05688483669862099,254.26677902621722,145.66322097378278,469,0.3468573747516546,267,0,89904.48566037737,67889.23,2023-07-10,Accessories
67889.23,64235.22,75124.55,72206.71,70839.7025,72806.4825,5728.8285081063395,0.11644453766819862,288.1922433460076,149.61946768060835,502,0.3506401859379367,263,0,89904.48566037737,75794.56,2023-07-17,Accessories
75794.56,67889.23,76109.81,70213.42,71007.205,73254.96375,5903.018849789222,-0.12346453360241161,265.74647999999996,149.40284,441,0.3415067021536832,250,0,89904.48566037737,66436.62,2023-07-24,Accessories
66436.62,75794.56,64235.22,76669.98,68588.9075,72782.86375,5033.153845091431,0.03529122944544749,274.0288844621514,148.11334661354581,461,0.3392093888611633,251,0,89904.48566037737,68781.25,2023-07-31,Accessories
68781.25,66436.62,67889.23,80002.94,69725.415,71796.7725,4159.876459884389,0.017385552021808248,256.3261904761905,145.7630402930403,479,0.3404561308561118,273,0,89904.48566037737,69977.05,2023-08-07,Accessories
69977.05,68781.25,75794.56,75124.55,70247.37,70543.53624999999,3979.7702285182563,-0.03956782973846418,277.71987603305786,157.54466942148758,429,0.3366369439554719,242,0,89904.48566037737,67208.21,2023-08-14,Accessories
67208.21,69977.05,66436.62,76109.81,68100.7825,69553.99375,1586.3520252743392,-0.000480298463536144,258.3689615384615,147.88880769230767,450,0.3441096143568938,260,0,89904.48566037737,67175.93,2023-08-21,Accessories
67175.93,67208.21,68781.25,64235.22,68285.61,68437.25875,1353.8597595517997,0.097974676346126,297.40915322580645,151.30310483870966,469,0.341513799179859,248,0,89904.48566037737,73757.47,2023-08-28,Accessories
73757.47,67175.93,69977.05,67889.23,69529.66500000001,69627.54000000001,3109.325233524732,-0.09378263652481567,260.0789883268483,147.18684824902724,448,0.3461434807069706,257,0,89904.48566037737,66840.3,2023-09-04,Accessories
66840.3,73757.47,67208.21,75794.56,68745.47750000001,69496.42375,3345.466626539858,0.0718033880757567,287.7094779116466,151.66654618473896,472,0.3415850172643669,249,0,89904.48566037737,71639.66,2023-09-11,Accessories
71639.66,66840.3,67175.93,66436.62,69853.34,68977.06125,3400.005124947162,0.06226676676019949,270.8200355871886,153.6797153024911,493,0.3455088123981616,281,0,89904.48566037737,76100.43,2023-09-18,Accessories
76100.43,71639.66,73757.47,68781.25,72084.465,70185.03749999999,3942.3359676931227,0.06313748818502085,267.0139273927393,150.11561056105612,545,0.3389287825802292,303,0,89904.48566037737,80905.22,2023-09-25,Accessories
80905.22,76100.43,66840.3,69977.05,73871.4025,71700.53375,6023.847861372206,0.6769032949913492,272.9783299798793,150.86259557344064,889,0.3369879458094039,497,0,89904.48566037737,135670.23,2023-10-02,Accessories
135670.23,80905.22,71639.66,67208.21,91078.88500000001,79912.18125,29967.366090626543,0.01580302473136519,273.44093253968254,149.84968253968256,903,0.34494021178996537,504,0,89904.48566037737,137814.23,2023-10-09,Accessories
137814.23,135670.23,76100.43,67175.93,107622.5275,88737.93375000001,33693.073799749385,0.018700681344734793,275.2773529411765,150.501431372549,920,0.34963912991413637,510,0,89904.48566037737,140391.45,2023-10-16,Accessories
140391.45,137814.23,80905.22,73757.47,123695.2825,97889.87375,28591.930703594637,0.009935006725836804,279.65727810650884,153.7160355029586,906,0.3360224132971831,507,0,89904.48566037737,141786.24,2023-10-23,Accessories
141786.24,140391.45,135670.23,66840.3,138915.5375,106393.47,2718.0967318003622,0.33615088459923914,266.07838483146065,151.47279494382022,1240,0.3402091365400257,712,0,89904.48566037737,189447.81,2023-10-30,Accessories
189447.81,141786.24,137814.23,71639.66,152359.9325,121719.40875,24779.93586964308,0.17772060811893264,278.8957375,149.83245,1472,0.34225940969384816,800,0,89904.48566037737,223116.59,2023-11-06,Accessories
223116.59,189447.81,140391.45,76100.43,173685.52250000002,140654.02500000002,40074.678743034536,-0.05570123673905192,267.71120711562895,148.06914866581957,1400,0.3377028726235159,787,0,89904.48566037737,210688.72,2023-11-13,Accessories
210688.72,223116.59,141786.24,80905.22,191259.84,157477.56125000003,35792.245195003714,0.11438723439963949,282.53768953068595,151.18755716004813,1537,0.33588984301932434,831,0,89904.48566037737,234788.82,2023-11-20,Accessories
234788.82,210688.72,189447.81,135670.23,214510.485,176713.01124999998,19390.886858815044,-0.22378160936283087,274.4689759036144,152.9493825301205,1194,0.34015759769232573,664,0,89904.48566037737,182247.4,2023-11-27,Accessories
182247.4,234788.82,223116.59,137814.23,212710.3825,182535.1575,22567.136718642243,-0.2176364655956683,273.1488888888889,153.21216475095787,924,0.34415743518197656,522,0,89904.48566037737,142583.72,2023-12-04,Accessories
142583.72,182247.4,210688.72,140391.45,192577.16499999998,183131.34375,39648.03833012128,0.08460054205346879,269.4187804878049,150.45479094076654,1023,0.339711119253306,574,0,89904.48566037737,154646.38,2023-12-11,Accessories
154646.38,142583.72,234788.82,141786.24,178566.58,184913.21,40993.62100095412,0.09594307994794327,270.7406230031949,151.97908945686902,1115,0.34129094805913013,626,0,89904.48566037737,169483.63,2023-12-18,Accessories
169483.63,154646.38,182247.4,189447.81,162240.2825,188375.38375,17289.6755142144,-0.10146938674844286,275.8808514492754,150.83740942028984,1009,0.33718013438815514,552,0,89904.48566037737,152286.23,2023-12-25,Accessories
152286.23,169483.63,142583.72,223116.59,154749.99,183730.18625,11123.235766211805,-0.5625750273022059,275.26363636363635,150.881652892562,435,0.3405008470472605,242,0,89904.48566037737,66613.8,2024-01-01,Accessories
66613.8,152286.23,154646.38,210688.72,135757.51,164167.3375,46720.059209201216,-0.09901326752114425,298.5977611940299,152.09592039800995,390,0.3395397999234216,201,0,89904.48566037737,60018.15,2024-01-08,Accessories
